source,task_type,source_id,question,context,choice_labels,choice_texts,gold_label,gold_index,gold_text,explanation,subject,meta
MedQA,mcq_medical,,"A 48-year-old man is brought to the emergency department after he was found in a stuporous state with a small cut on his forehead on a cold night in front of his apartment. Non-contrast head CT is normal, and he is monitored in the emergency department. Twelve hours later, he yells for help because he hears the wallpaper threatening his family. He also has a headache. The patient started drinking regularly 10 years ago and consumed a pint of vodka prior to admission. He occasionally smokes marijuana and uses cocaine. His vital signs are within normal limits. On mental status examination, the patient is alert and oriented. He appears markedly distressed and is diaphoretic. A fine digital tremor on his right hand is noted. The remainder of the neurological exam shows no abnormalities. Urine toxicologic screening is pending. Which of the following is the most likely diagnosis?",step2&3,"['A', 'B', 'C', 'D']","['Alcoholic hallucinosis', 'Cocaine intoxication', 'Delirium tremens', 'Brief psychotic disorder']",A,0,Alcoholic hallucinosis,,,"{'metamap_phrases': ['48 year old man', 'brought', 'emergency department', 'found', 'stuporous state', 'small cut', 'forehead', 'cold night', 'front of', 'apartment', 'Non contrast head CT', 'normal', 'monitored', 'emergency department', 'Twelve hours later', 'help', 'hears', 'family', 'headache', 'patient started drinking', '10 years', 'pint', 'vodka', 'admission', 'occasionally smokes marijuana', 'uses cocaine', 'vital signs', 'normal limits', 'mental', 'patient', 'alert', 'oriented', 'appears markedly distressed', 'diaphoretic', 'fine digital tremor', 'right hand', 'noted', 'neurological exam shows', 'abnormalities', 'Urine toxicologic screening', 'following', 'most likely diagnosis']}"
SciQ,mcq_science,,What is the leading cause of soil erosion?,"The same agents that erode landscapes also erode soil. They are water, wind, ice, or gravity. Running water is the leading cause of soil erosion. Water is abundant and has a lot of power. Wind is also a leading cause of soil erosion. Wind can pick up soil and blow it far away.","['A', 'B', 'C', 'D']","['running water', 'tidal winds', 'volcanic explosions', 'glacier movement']",A,0,running water,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
SciQ,mcq_science,,What genetic unit is formed when the dna double helix wraps around proteins and tightly coils a number of times?,"(left) The DNA double helix wraps around proteins (2) and tightly coils a number of times to form a chromosome (5). This figure shows the complexity of the coiling process. The red dot shows the location of the centromere, where the microtubules attach during mitosis and meiosis. (right) A representation of a condensed eukaryotic chromosome, as seen after the DNA has been copied. The chromosome is made of two identical, or sister, chromatids held together by a centromere.","['A', 'B', 'C', 'D']","['chromosome', 'atom', 'gene', 'neutron']",A,0,chromosome,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ARC-Easy,mcq_science,NYSEDREGENTS_2004_8_17,Beaver dams can cause floods. This statement shows how,,"['1', '2', '3', '4']","['animal growth is affected by environmental conditions', 'animal behavior may affect the environment', ""an animal's health depends on its environment"", ""an animal's development depends on its environment""]",2,1,animal behavior may affect the environment,,,{}
ARC-Easy,mcq_science,MEA_2013_5_14,Which event would most likely result in more food for organisms that are scavengers?,,"['A', 'B', 'C', 'D']","['Fish die and sink to the bottom of a pond.', 'Trees take up and store water with roots.', 'Beavers build a new dam and lodge.', 'Plants get more sunshine and water.']",A,0,Fish die and sink to the bottom of a pond.,,,{}
SciQ,mcq_science,,The epidermis consists mainly of what type of cells?,Cell Layers of the Epidermis. The epidermis consists mainly of epithelial cells.,"['A', 'B', 'C', 'D']","['epithelial', 'cytoplasm', 'blood cells', 'crystalline']",A,0,epithelial,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
SciQ,mcq_science,,"In a medium, the closer the distribution of the material gets to what state, the slower the rate of diffusion becomes?","Each separate substance in a medium, such as the extracellular fluid, has its own concentration gradient, independent of the concentration gradients of other materials. Additionally, each substance will diffuse according to that gradient. Several factors affect the rate of diffusion. • Extent of the concentration gradient: The greater the difference in concentration, the more rapid the diffusion. The closer the distribution of the material gets to equilibrium, the slower the rate of diffusion becomes. • Mass of the molecules diffusing: More massive molecules move more slowly, because it is more difficult for them to move between the molecules of the substance they are moving through; therefore, they diffuse more slowly. • Temperature: Higher temperatures increase the energy and therefore the movement of the molecules, increasing the rate of diffusion. • Solvent density: As the density of the solvent increases, the rate of diffusion decreases. The molecules slow down because they have a more difficult time getting through the denser medium.","['A', 'B', 'C', 'D']","['equilibrium', 'erosion', 'gas', 'elastic']",A,0,equilibrium,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
AQUA-RAT,mcq_rationale,,"If 7 and 9 are factors of 60n, what is the minimum value of n?",,"['A', 'B', 'C', 'D', 'E']","['2', '3', '7', '14', '21']",E,4,21,"60n/7*9 should be integer => 2*2*3*5*n/7*3*3 = 2*2*5*n/21 must be an integer
for this to be true n must multiple of 21, thus min of n = 21
hence E",,{}
SciQ,mcq_science,,Which law refers to the electron charge remaining the same during transfer?,"Three ways electrons can be transferred are conduction, friction, and polarization. In each case, the total charge remains the same. This is the law of conservation of charge.","['A', 'B', 'C', 'D']","['law of conservation of charge', 'law of construct of charge', 'law of change', 'law of conservation of speculation']",A,0,law of conservation of charge,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
SciQ,mcq_science,,Resemblance to other species can serve as protection to what category of species?,,"['A', 'B', 'C', 'D']","['prey', 'producer', 'predator', 'consumer']",A,0,prey,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ARC-Easy,mcq_science,NYSEDREGENTS_2016_4_2,An example of a learned behavior is,,"['A', 'B', 'C', 'D']","['driving a car', 'having blue eyes', 'shivering in the cold', 'breathing air']",A,0,driving a car,,,{}
MedQA,mcq_medical,,"A 5-year-old boy is brought to the physician because of a nonpruritic rash on his face that began 5 days ago. It started as a bug bite on his chin that then developed into small pustules with surrounding redness. He has not yet received any routine childhood vaccinations. Physical examination shows small, clustered lesions with gold crusts along the lower lip and chin and submandibular lymphadenopathy. At a follow-up examination 2 weeks later, his serum anti-deoxyribonuclease B antibody titer is elevated. This patient is at greatest risk for which of the following complications?",step1,"['A', 'B', 'C', 'D']","['Reactive arthritis', 'Shingles', 'Glomerulonephritis', 'Myocarditis']",C,2,Glomerulonephritis,,,"{'metamap_phrases': ['5 year old boy', 'brought', 'physician', 'of', 'nonpruritic rash', 'face', 'began 5 days', 'started', 'bug bite', 'chin', 'then', 'small pustules', 'surrounding redness', 'not', 'received', 'routine', 'Physical examination shows small', 'clustered lesions', 'gold crusts', 'lower lip', 'chin', 'submandibular lymphadenopathy', 'follow-up examination 2 weeks later', 'serum anti-deoxyribonuclease B antibody titer', 'elevated', 'patient', 'greatest risk', 'following complications']}"
MMLU,mcq,,"The world produces about 4 billion metric tons of food a year but 1.2 to 2 billion tons is not eaten, the study by the London-based Institution of Mechanical Engineers said. It is instead thrown away. Experts say food is wasted in both rich and poor countries, but for different reasons. Elliot Woolley teaches sustainable manufacturing at Loughborough University in Britain. He spoke at the Global Conference on Sustainable Manufacturing, which was held earlier this month in Vietnam. Mr. Woolley said in poor countries, food is usually lost while it is still in the field or during storage and transportation. He said that is because food producers there are inefficient. These businesses are unable to operate effectively without wasting materials, time or energy. But he added that once food is sold in developing countries, people usually eat everything they buy. However, people in developed countries throw away as much as half of the food they purchase. In the US, big contributors to waste include supersized portions that customers simply can't manage, and""eat as much as you want""offers in restaurants. In the UK, over-conservative sell-by dates on labels and two-for-one offers of perishable items are key factors, encouraging consumers to buy too much food to start with and to throw away items that have reached their sell-by date, but which are still edible. And efficient farming methods, transport and storage mean that most of the wastage occurs through retail and customer behavior. The British researcher called this custom""adisgrace"". Elliot Woolley has created a smartphone app that he says shows users what food they have bought and when the food is about to become unsafe to eat. It also gives information on how people can combine the foods they have to make a meal. The software program is called""Pantry App"". Mr. Woolley said that people who used the app reduced the amount of food they wasted by a third. But this result came from a limited experiment -- users only followed their food use for a week. Jeremy Bonvoisin is a student at the Technical University of Berlin. He attended the recent conference in Vietnam. He said one way to solve the problem of wasting food is to take steps to persuade people to stop buying so much food in the first place. He said people buy more food than they need because it is becoming less costly. They waste so much food because they buy more than they need. He said the new app could help those who already want to change the way they use the food they buy. But he is also worried that it could get people to waste more food because they no longer have to pay attention to how much they have bought. What's Jeremy Bonvoisin's advice on handling the problem of wasting food?",,"['A', 'B', 'C', 'D']","['Talking people out of buying so much food.', ""Raising people's awareness of saving food."", 'Passing a law to require people to save food.', 'Persuading people to continue using Pantry App.']",A,0,Talking people out of buying so much food.,,,{}
SciQ,mcq_science,,What is it called when body’s internal environment is stable?,"The tennis player in Figure below has really worked up a sweat. Do you know why we sweat? Sweating helps to keep us cool. When sweat evaporates from the skin, it uses up some of the body’s heat energy. Sweating is one of the ways that the body maintains a stable internal environment. It helps keep the body’s internal temperature constant. When the body’s internal environment is stable, the condition is called homeostasis .","['A', 'B', 'C', 'D']","['homeostasis', 'synchronicity', 'hypothesis', 'ketosis']",A,0,homeostasis,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
AQUA-RAT,mcq_rationale,,A man buys a cycle for Rs. 1400 and sells it at a loss of 15%. What is the selling price of the cycle?,,"['A', 'B', 'C', 'D', 'E']","['Rs 970', 'Rs 1075', 'Rs 1190', 'Rs 1210', 'Rs 1810']",C,2,Rs 1190,"S.P. = 85% of Rs. 1400 = Rs.85/100x 1400	= Rs. 1190
ANSWER : C",,{}
MMLU,mcq,,"What is a Chinatown? Is it a town in China? Of course not! It is in a foreign  country. It is a place where many overseas  Chinese live together. There are lots of Chinatowns in America. The biggest one is in New York. There are about 150,000 people in it. It is the home of Chinese New Yorkers. And it is also a good place to go. Shopping in Chinatown Shopping in Chinatown is fun. You can find lots of things there. Most of them are made in China. Mott Street is the best place to shop because the things there are very cheap. Eating in Chinatown Chinatown has more than 200 restaurants. You can enjoy traditional   Chinese food there. New Silver Palace Restaurant is one of the best restaurants. Why don't you have breakfast with a cup of green tea in it? You can eat some Shanghai food in Evergreen Restaurant. Living in Chinatown Living in Chinatown is comfortable. You can find hospitals, schools, banks, libraries and supermarkets in it. In some schools, students must study Chinese. Many overseas Chinese send their children to these schools. They want their children to learn more about China and its culture . The Chinatown in New York has   _  .",,"['A', 'B', 'C', 'D']","['200,000 people', 'no hospitals', 'schools but no hospitals', 'some shops, restaurants and schools']",D,3,"some shops, restaurants and schools",,,{}
AQUA-RAT,mcq_rationale,,"A particular store purchased a stock of turtleneck sweaters and marked up its cost by 20%. During the New Year season, it further marked up its prices by 25% of the original retail price. In February, the store then offered a discount of 18%. What was its profit on the items sold in February?",,"['A', 'B', 'C', 'D', 'E']","['27.5%', '30%', '35%', '23%', '40%']",D,3,23%,"Assume the total price = 100x
Price after 20% markup = 120x
Price after 25%further markup = 1.25*120x = 150x
Price after the discount = 0.82*150x = 123x
Hence total profit = 23%
Option D",,{}
ARC-Easy,mcq_science,NCEOGA_2013_5_44,Which process allows green plants to control the amount of water stored in their leaves?,,"['A', 'B', 'C', 'D']","['photosynthesis', 'condensation', 'respiration', 'transpiration']",D,3,transpiration,,,{}
ReClor,reading_comp_mcq,train_2100,The answer to which one of the following questions would be most useful in evaluating the truth of the conclusion drawn in the advertisement?,"Advertisement: Most power hedge trimmers on the market do an adequate job of trimming hedges, but many power hedge trimmers are dangerous to operate and can cause serious injury when used by untrained operators. Bolter Industries' hedge trimmer has been tested by National Laboratories, the most trusted name in safety testing. So you know, if you buy a Bolter' s, you are buying a power hedge trimmer whose safety is assured.","['A', 'B', 'C', 'D']","[""What were the results of National Laboratories' tests of Bolter Industries' hedge trimmer?"", 'Has National Laboratories performed safety tests on other machines made by Bolter Industries?', ""Does any other power hedge trimmer on the market do a better job of trimming hedges than does Bolter Industries' hedge trimmer?"", 'How important to the average buyer of a power hedge trimmer is safety of operation?']",A,0,What were the results of National Laboratories' tests of Bolter Industries' hedge trimmer?,,,{}
ReClor,reading_comp_mcq,train_2865,"Which one of the following principles, if valid, provides the most support for the futurist's inference?",Futurist: Artists in the next century will be supported largely by private patrons. Because these patrons will almost invariably be supporters of the social order -- whatever it happens to be at the time -- art in the next century will rarely express social and political doctrines that are perceived to be subversive of that social order.,"['A', 'B', 'C', 'D']","['Artists tend to become more critical of contemporary social and political arrangements after they are freed of their dependency on private patrons.', 'Art patrons tend not to support artists whose art expresses social and political views that are in opposition to their own.', 'Art patrons tend to oppose all social change except that initiated by artists.', 'Artists are as prone to attack the contemporary social and political order in their work as they are to defend it.']",B,1,Art patrons tend not to support artists whose art expresses social and political views that are in opposition to their own.,,,{}
SciQ,mcq_science,,"The brain and spinal cord are part of what system, which serves as a control center?","The central nervous includes the brain and spinal cord. The brain is the control center of the nervous system. It controls virtually all mental and physical processes. The spinal cord is a long, thin bundle of nervous tissue that passes messages from the body to the brain and from the brain to the body.","['A', 'B', 'C', 'D']","['central nervous system', 'primary nervous system', 'active nervous system', 'large nervous system']",A,0,central nervous system,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ARC-Easy,mcq_science,NYSEDREGENTS_2009_8_35,Scurvy is a disease that sailors often got on long voyages. It was discovered that scurvy could be prevented by eating oranges and lemons. This suggests that scurvy is a disease caused by,,"['1', '2', '3', '4']","['exposure to sea air', 'a nutritional deficiency', 'a microorganism', 'lack of exercise']",2,1,a nutritional deficiency,,,{}
MedQA,mcq_medical,,"A 32-year-old man comes to the physician because of a 2-week history of a cough and shortness of breath. He also noted several episodes of blood-tinged sputum over the last 4 days. He has a 3-month history of progressive fatigue. His temperature is 37.5°C (98.6°F), pulse is 86/min, respirations are 17/min, and blood pressure is 150/93 mm Hg. Examination shows pale conjunctivae. Crackles are heard on auscultation of the chest. Laboratory studies show:
Hemoglobin 10.2 g/dL
Leukocyte count 9200/mm3
Platelet count 305,000/mm3
Serum
Na+ 136 mEq/L
Cl- 101 mEq/L
K+ 4.5 mEq/L
HCO3- 25 mEq/L
Urea nitrogen 28 mg/dL
Creatinine 2.3 mg/dL
Anti-GBM antibodies positive
Antinuclear antibodies negative
Urine
Blood 2+
Protein 2+
RBC 11–13/hbf
RBC casts rare
He is started on prednisone and cyclophosphamide. Which of the following is the most appropriate next step in management?""",step2&3,"['A', 'B', 'C', 'D']","['Administer inhalative fluticasone', 'Perform hemodialysis', 'Perform plasmapheresis', 'Administer enalapril']",C,2,Perform plasmapheresis,,,"{'metamap_phrases': ['year old man', 'physician', '2-week history', 'cough', 'shortness of breath', 'noted several episodes of blood-tinged sputum', 'last', 'days', '3 month history', 'progressive fatigue', 'temperature', '98', 'pulse', 'min', 'respirations', 'min', 'blood pressure', 'mm Hg', 'Examination shows pale conjunctivae', 'Crackles', 'heard', 'auscultation', 'chest', 'Laboratory studies show', 'Hemoglobin 10', 'mm3 Platelet', 'Serum Na', 'K', '4 5', 'mg', 'Creatinine', 'mg', 'Anti', 'antibodies positive', 'Urine Blood', 'Protein', 'casts rare', 'started', 'prednisone', 'cyclophosphamide', 'following', 'most appropriate next step', 'management']}"
AQUA-RAT,mcq_rationale,,xy=2 then what is (2^(x+y)^2) / (2^(x-y)^2),,"['A', 'B', 'C', 'D', 'E']","['2', '4', '8', '16', '256']",E,4,256,"(x+y)^2 - (x-y)^2
(x+y+x-y)(x+y-x+y)
(2x)(2y)
4xy
8
2^8 = 256
Answer E",,{}
MedQA,mcq_medical,,"A 49-year-old woman with a history of intravenous drug use comes to the physician because of a 6-month history of fatigue, joint pain, and episodic, painful discoloration in her fingers when exposed to cold weather. She takes no medications. She has smoked one pack of cigarettes daily for the past 22 years. She appears tired. Physical examination shows palpable, nonblanching purpura over the hands and feet. Neurological examination shows weakness and decreased sensation in all extremities. Serum studies show:
Alanine aminotransferase 78 U/L
Aspartate aminotransferase 90 U/L
Urea nitrogen 18 mg/dL
Creatinine 1.5 mg/dL
Which of the following processes is the most likely explanation for this patient's current condition?""",step1,"['A', 'B', 'C', 'D']","['Immune complex formation', 'Spirochete infection', 'Tobacco hypersensitivity', 'Fibroblast proliferation']",A,0,Immune complex formation,,,"{'metamap_phrases': ['year old woman', 'history', 'intravenous drug use', 'physician', 'month history', 'fatigue', 'joint pain', 'episodic', 'painful discoloration in', 'fingers', 'exposed', 'cold weather', 'takes', 'medications', 'smoked one pack', 'cigarettes daily', 'past', 'years', 'appears tired', 'Physical examination shows palpable', 'purpura', 'hands', 'feet', 'Neurological examination shows weakness', 'decreased sensation in', 'extremities', 'Serum studies show', 'Alanine aminotransferase', 'U/L Aspartate aminotransferase', 'Urea nitrogen', 'dL', 'dL', 'following processes', 'most likely explanation', 'patient', 'urrent  ondition?']}"
MedQA,mcq_medical,,"An investigator is studying cardiomyocytes in both normal and genetically modified mice. Both the normal and genetically modified mice are observed after aerobic exercise and their heart rates are recorded and compared. After a 10-minute session on a treadmill, the average pulse measured in the normal mice is 680/min, whereas in the genetically modified mice it is only 160/min. Which of the following is most likely to account for the increased heart rate seen in the normal mice?",step1,"['A', 'B', 'C', 'D']","['Greater cardiomyocyte size', 'Greater ratio of heart to body weight', 'Lower number of gap junctions', 'Greater T-tubule density']",D,3,Greater T-tubule density,,,"{'metamap_phrases': ['investigator', 'studying cardiomyocytes', 'normal', 'modified mice', 'normal', 'modified mice', 'observed', 'aerobic exercise', 'heart rates', 'recorded', 'compared', '10 minute session', 'treadmill', 'average pulse measured', 'normal mice', 'min', 'modified mice', 'only', 'min', 'following', 'most likely to account', 'increased heart rate seen', 'normal mice']}"
ARC-Easy,mcq_science,Mercury_405939,One thing that all human cells have in common is that they,,"['A', 'B', 'C', 'D']","['control the brain.', 'make food.', 'move blood.', 'take in energy.']",D,3,take in energy.,,,{}
SciQ,mcq_science,,What process refers to the conversion of atmospheric nitrogen to ammonia?,"31.3 Nutritional Adaptations of Plants Atmospheric nitrogen is the largest pool of available nitrogen in terrestrial ecosystems. However, plants cannot use this nitrogen because they do not have the necessary enzymes. Biological nitrogen fixation (BNF) is the conversion of atmospheric nitrogen to ammonia. The most important source of BNF is the symbiotic interaction between soil bacteria and legumes. The bacteria form nodules on the legume’s roots in which nitrogen fixation takes place. Fungi form symbiotic associations (mycorrhizae) with plants, becoming integrated into the physical structure of the root. Through mycorrhization, the plant obtains minerals from the soil and the fungus obtains photosynthate from the plant root. Ectomycorrhizae form an extensive dense sheath around the root, while endomycorrhizae are embedded within the root tissue. Some plants—parasites, saprophytes, symbionts, epiphytes, and insectivores—have evolved adaptations to obtain their organic or mineral nutrition from various sources.","['A', 'B', 'C', 'D']","['biological nitrogen fixation', 'biological nutrient fixation', 'biological ammonia fixation', 'biological respiratory fixation']",A,0,biological nitrogen fixation,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MMLU,mcq,,"If you want to protect  yourself,please remember the following ways of information. These ways will make you safe. Don't use earphones  when you are running in the school yard or in the street. You will keep yourself from the outside world and can easily get into trouble. If a stranger is following you, please don't go home directly .You may be safer in the street than you are in your home or in a lift. If necessary, please go and get help from others. When you take a bus, don't sit alone. You should sit behind the driver or with friends. Don't sleep. Your school bag should be carried towards(,)the front of your body. Don't put it on your back. Don't play with matches or candles , because it may cause fire. If it causes fire, please call 119. We can't use   _   when we are running in the street.",,"['A', 'B', 'C', 'D']","['radios', 'watches', 'earphones', 'mobile phones']",C,2,earphones,,,{}
